

Abhyanga





   
   Abhyanga 



Chikitsaa Karma,Abhyanga
Specific Classification,Snehana
Instruments used,Deepaka
Instruments used,Taila Paatra
Instruments used,Vastra
Gun`a,Drava
Gun`a,Snigdha
Gun`a,Sookshma
Gun`a,Sthira
Gun`a,Ushn`a
Karma,Balya
Karma,Jvarahara
Karma,Maardavakara
Karma,Nidraakara
Karma,Preen`ana
Karma,Pusht`ikrit
Karma,S`hramahara
Karma,Varn`ya
Karma,Vayasthaapana
Karma,Vran`a Ropan`a
Karma,Vran`a S`hodhana
Karma,Vrishya
Arha Vyaadhi Prakaara,Vaataja Vyaadhi
Arha Vyaadhi,Aalasya
Arha Vyaadhi,Aamavaata
Arha Vyaadhi,Aandhya
Arha Vyaadhi,Apachee
Arha Vyaadhi,Apasmaara
Arha Vyaadhi,Apasmaara --) Avasthaa --) Baala Rugn`a
Arha Vyaadhi,Arati
Arha Vyaadhi,Ars`ha --) Avasthaa --) Atyartha Nirgata + Doshapoorn`a
Arha Vyaadhi,Ars`ha --) Avasthaa --) Bhinna Pureesha
Arha Vyaadhi,Ars`ha --) Avasthaa --) Kapha Vaataja + Stambha + Kand`oo + S`hoola + S`hotha
Arha Vyaadhi,Ars`ha --) S`hushka Ars`ha --) S`hotha + S`hoola + Stabdhaars`ha
Arha Vyaadhi,Ars`ha --) S`hushka Ars`ha --) Stambha + S`hotha + Kan`d`oo + S`hoola
Arha Vyaadhi,Ars`ha --) Sraavee Ars`ha --) Raktasraava + Praksheen`a Dosha + Vaata Praadhaanya
Arha Vyaadhi,As`hmaree
Arha Vyaadhi,As`hmaree --) Avasthaa --) As`hmaree S`hastrakarma Pas`hchaat
Arha Vyaadhi,Atisaara
Arha Vyaadhi,Atisaara --) Pittaja Atisaara --) Guda Paaka
Arha Vyaadhi,Atisaara --) Pittaja Atisaara --) Guda Paaka + Atiraktasraava + S`hoola
Arha Vyaadhi,Atisaara --) Raktaja Atisaara
Arha Vyaadhi,Baala Roga
Arha Vyaadhi,Baala Roga --) Avasthaa --) Navajaata Baalaka
Arha Vyaadhi,Baala Roga --) Baala S`hosha
Arha Vyaadhi,Baala Roga --) Graha Roga
Arha Vyaadhi,Baala Roga --) Graha Roga --) Andhapootanaa Graha
Arha Vyaadhi,Baala Roga --) Graha Roga --) Mukhaman`d`ikaa Graha
Arha Vyaadhi,Baala Roga --) Graha Roga --) Naigamesha Graha
Arha Vyaadhi,Baala Roga --) Graha Roga --) Pootanaa Graha
Arha Vyaadhi,Baala Roga --) Graha Roga --) Revatee Graha
Arha Vyaadhi,Baala Roga --) Graha Roga --) S`hakunee Graha
Arha Vyaadhi,Baala Roga --) Graha Roga --) S`heetapootanaa Graha
Arha Vyaadhi,Baala Roga --) Graha Roga --) Skanda Graha
Arha Vyaadhi,Baala Roga --) Graha Roga --) Skandaapsmaara
Arha Vyaadhi,Baala Roga --) Phakka
Arha Vyaadhi,Baala Roga --) Taalupaata
Arha Vyaadhi,Bhagandara
Arha Vyaadhi,Bhagandara --) Avasthaa --) S`hastrakarma Pas`hchaat --) Rujaa
Arha Vyaadhi,Bhagandara --) Parisraavee
Arha Vyaadhi,Bhagandara --) Parisraavee --) Krit Utkartana
Arha Vyaadhi,Bhagna
Arha Vyaadhi,Bhagna --) Avasthaa --) Chirakaaree + S`hoola
Arha Vyaadhi,Bhagna --) Avasthaa --) Sudrid`heekaran`aarha
Arha Vyaadhi,Bhagna --) Kaan`d`a Bhagna
Arha Vyaadhi,Bhagna --) Sandhimukta Bhagna
Arha Vyaadhi,Bhrama
Arha Vyaadhi,Bradhna
Arha Vyaadhi,Chhardi
Arha Vyaadhi,Chhardi --) Avasthaa --) Chirapravritta + Dhaatukshaya + Vaatavriddhi
Arha Vyaadhi,Daaha
Arha Vyaadhi,Daaha --) Avasthaa --) Antaradaaha
Arha Vyaadhi,Daaha --) Sthaanabhedena --) Netra Daaha
Arha Vyaadhi,Daaha --) Sthaanabhedena --) S`hirodaaha
Arha Vyaadhi,Daaha --) Sthaanabhedena --) Sarvaanga Daaha
Arha Vyaadhi,Dhaatupradoshaja Vyaadhi --) Raktapradoshaja Vyaadhi
Arha Vyaadhi,Dhaatupradoshaja Vyaadhi --) S`hukrapradoshaja Vyaadhi
Arha Vyaadhi,Graha Roga --) Aasoora Graha
Arha Vyaadhi,Graha Roga --) Bhoota Graha
Arha Vyaadhi,Graha Roga --) Brahmaraakshasa Graha
Arha Vyaadhi,Graha Roga --) Deva Graha
Arha Vyaadhi,Graha Roga --) Pis`haacha Graha
Arha Vyaadhi,Graha Roga --) Raksho Graha
Arha Vyaadhi,Graha Roga --) Yaksha Graha
Arha Vyaadhi,Grahan`ee
Arha Vyaadhi,Grahan`ee --) Vaataja --) Mala Mootra Vaata Vibandha + Alpa Agni
Arha Vyaadhi,Gudabhrams`ha
Arha Vyaadhi,Guhya Roga
Arha Vyaadhi,Gulma
Arha Vyaadhi,Gulma --) Avasthaa --) Vaata Varcha Nirodha
Arha Vyaadhi,Gulma --) Gulma Prakaara --) Vaataja Gulma --) Mala Vibandha+Vaata Vibandha+Teevra S`hoola+Rookshas`heeetodbhava
Arha Vyaadhi,Hikkaa
Arha Vyaadhi,Hridroga
Arha Vyaadhi,Jvara
Arha Vyaadhi,Jvara --) Aagantuja --) Abhighaataja
Arha Vyaadhi,Jvara --) Avasthaa --) Baala Rugn`a
Arha Vyaadhi,Jvara --) Avasthaa --) Daaha
Arha Vyaadhi,Jvara --) Avasthaa --) Jeern`a Jvara
Arha Vyaadhi,Jvara --) Avasthaa --) Jeern`a Jvara --) Tvaggata
Arha Vyaadhi,Jvara --) Avasthaa --) Kshataja
Arha Vyaadhi,Jvara --) Avasthaa --) Kshayaja
Arha Vyaadhi,Jvara --) Avasthaa --) Ksheen`a Rugn`a
Arha Vyaadhi,Jvara --) Avasthaa --) S`heeta Jvara
Arha Vyaadhi,Jvara --) Avasthaa --) S`hramajanya
Arha Vyaadhi,Jvara --) Dhaatugata Jvara --) Rasagata
Arha Vyaadhi,Jvara --) Dosha Bheda - Jvara --) Kaphaja Jvara
Arha Vyaadhi,Jvara --) Dosha Bheda - Jvara --) Kaphavaataja
Arha Vyaadhi,Jvara --) Dosha Bheda - Jvara --) Kaphavaataja --) Jeern`a + S`heeta Jvara
Arha Vyaadhi,Jvara --) Dosha Bheda - Jvara --) Kaphavaataja --) S`heeta Jvara
Arha Vyaadhi,Jvara --) Dosha Bheda - Jvara --) Pittaja Jvara
Arha Vyaadhi,Jvara --) Dosha Bheda - Jvara --) Pittaja Jvara --) Daaha
Arha Vyaadhi,Jvara --) Dosha Bheda - Jvara --) Sannipaataja Jvara
Arha Vyaadhi,Jvara --) Dosha Bheda - Jvara --) Vaataja Jvara
Arha Vyaadhi,Jvara --) Punaraavartaka
Arha Vyaadhi,Jvara --) Vishama
Arha Vyaadhi,Jvara --) Vishama --) S`heetaka Jvara
Arha Vyaadhi,Kaars`hya
Arha Vyaadhi,Kaasa
Arha Vyaadhi,Kaasa --) Kaphaja Kaasa
Arha Vyaadhi,Kaasa --) Kshataja Kaasa
Arha Vyaadhi,Kaasa --) Kshataja Kaasa --) Vaatapitaanubandha + Gaatra Bheda
Arha Vyaadhi,Kaasa --) Kshayaja Kaasa
Arha Vyaadhi,Kaasa --) Pittaja Kaasa
Arha Vyaadhi,Kaasa --) Vaataja Kaasa
Arha Vyaadhi,Kaasa --) Vaataja Kaasa --) Rooksha S`hareera
Arha Vyaadhi,Kan`d`oo
Arha Vyaadhi,Karn`a Roga
Arha Vyaadhi,Karn`a Roga --) Karn`abaadhirya
Arha Vyaadhi,Karn`a Roga --) Karn`anaada
Arha Vyaadhi,Karn`a Roga --) Karn`apaaligata Roga
Arha Vyaadhi,Karn`a Roga --) Karn`apaaligata Roga --) Duhkhavardhana
Arha Vyaadhi,Karn`a Roga --) Karn`apaaligata Roga --) Karn`a Pali S`hosha
Arha Vyaadhi,Karn`a Roga --) Karn`apaaligata Roga --) Karn`a Tantrikaa
Arha Vyaadhi,Karn`a Roga --) Karn`apaaligata Roga --) Parilehee
Arha Vyaadhi,Karn`a Roga --) Karn`apaaligata Roga --) Unmatha
Arha Vyaadhi,Karn`a Roga --) Karn`apaaligata Roga --) Utpaata
Arha Vyaadhi,Karn`a Roga --) Karn`as`hoola
Arha Vyaadhi,Karn`a Roga --) Karn`as`hoola --) Kaphaja Karn`as`hoola
Arha Vyaadhi,Karn`a Roga --) Karn`as`hoola --) Pittaja Karn`as`hoola
Arha Vyaadhi,Karn`a Roga --) Karn`as`hoola --) Pittaja Karn`as`hoola --) Daaha
Arha Vyaadhi,Karn`a Roga --) Karn`as`hoola --) Pittaja Karn`as`hoola --) Osha
Arha Vyaadhi,Karn`a Roga --) Karn`as`hoola --) Vaataja Karn`as`hoola
Arha Vyaadhi,Klaibya
Arha Vyaadhi,Kotha
Arha Vyaadhi,Krimi Roga
Arha Vyaadhi,Kshataksheen`a
Arha Vyaadhi,Kshaya
Arha Vyaadhi,Kshudra Roga
Arha Vyaadhi,Kshudra Roga --) Arumshikaa
Arha Vyaadhi,Kshudra Roga --) Charmakeela
Arha Vyaadhi,Kshudra Roga --) Chippa
