

Agnikarma





Agnikarma



Chikitsaa Karma,Agni Karma
Specific Classification,Visha Upakrama
Specific Classification,Vran`a Upakrama
Instruments used,Ajaa S`hakrit
Instruments used,Godanta
Instruments used,Gud`a
Instruments used,Jambvausht`haadi Loha S`halaakaa
Instruments used,Kshaudra
Instruments used,Pancha Dhaatu S`halaakaa
Instruments used,Pippali
Instruments used,S`halaakaa
Instruments used,S`hara
Instruments used,Sneha
Karma,S`hon`itasthaapana
Karma,S`hoolapras`hamana
Karma,Visha Prasara Nirodhaka
Arha Vyaadhi Prakaara,Vaataja Vyaadhi
Arha Vyaadhi,Apachee
Arha Vyaadhi,Apachee --) Amarmajaata Apakva Apachee
Arha Vyaadhi,Arbuda --) Medoja Arbuda
Arha Vyaadhi,Ars`ha
Arha Vyaadhi,Ars`ha --) Avasthaa --) Atyartha Nirgata + Doshapoorn`a
Arha Vyaadhi,Ars`ha --) Avasthaa --) Karkas`ha + Sthira + Prithu + Kathin`a Ars`ha
Arha Vyaadhi,Ars`ha --) Avasthaa --) Mahaan Ars`ha + Balavaan Rugn`a
Arha Vyaadhi,Ars`ha --) Med`hraja Ars`ha
Arha Vyaadhi,Ars`ha --) Mukhaja Ars`ha
Arha Vyaadhi,Ars`ha --) Naabhija Ars`ha
Arha Vyaadhi,Ars`ha --) Netra Ars`ha
Arha Vyaadhi,Ars`ha --) Vaata Kaphaja Ars`ha
Arha Vyaadhi,Ars`ha --) Yonija Ars`ha
Arha Vyaadhi,As`hmaree --) Avasthaa --) As`hmaree S`hastrakarma Pas`hchaat Svamaarga Apratipadyamaana Mootra
Arha Vyaadhi,Bhagandara --) Aagantuja --) Krit Utkartana
Arha Vyaadhi,Bhagandara --) Avasthaa --) Antarmukha --) Baala
Arha Vyaadhi,Bhagandara --) Avasthaa --) Bahirmukha
Arha Vyaadhi,Bhagandara --) Avasthaa --) Bahirmukha --) Baala
Arha Vyaadhi,Bhagandara --) Parisraavee --) Chhedita
Arha Vyaadhi,Bhagandara --) Parisraavee --) Krit Utkartana
Arha Vyaadhi,Bhagandara --) S`hataponaka --) Krita S`hastrakarma
Arha Vyaadhi,Dhaatupradoshaja Vyaadhi --) Maamsapradoshaja Vyaadhi
Arha Vyaadhi,Gan`d`amaalaa
Arha Vyaadhi,Granthi --) Avasthaa --) Amarmajaata + Apakva
Arha Vyaadhi,Granthi --) Avasthaa --) Paakonmukha
Arha Vyaadhi,Granthi --) Kaphaja Granthi
Arha Vyaadhi,Granthi --) Medoja Granthi
