

Dhoomapaana





   
   Dhoomapaana

Chikitsaa Karma,Dhoomapaana
Instruments used,Dhoomanetra Naad`ee Yantra
Karma,Mukha Durgandhihara
Arha Vyaadhi Prakaara,Kaphaja Vyaadhi
Arha Vyaadhi Prakaara,Oordhvajatrugata Vyaadhi
Arha Vyaadhi Prakaara,Santarpan`ajanya Vyaadhi
Arha Vyaadhi Prakaara,Vaataja Vyaadhi
Arha Vyaadhi,Aalasya
Arha Vyaadhi,Aamadosha
Arha Vyaadhi,Angagaurava
Arha Vyaadhi,Apachee
Arha Vyaadhi,Apasmaara
Arha Vyaadhi,Arati
Arha Vyaadhi,Arochaka
Arha Vyaadhi,Chhardi
Arha Vyaadhi,Graha Roga --) Bhoota Graha
Arha Vyaadhi,Hikkaa
Arha Vyaadhi,Jad`atva
Arha Vyaadhi,Jalasantraasa
Arha Vyaadhi,Jvara
Arha Vyaadhi,Jvara --) Aagantuja
Arha Vyaadhi,Jvara --) Aagantuja --) Abhishangaja --) Bhootaabhishangaja
Arha Vyaadhi,Jvara --) Avasthaa --) Aasyavairasya
Arha Vyaadhi,Jvara --) Avasthaa --) Aruchi
Arha Vyaadhi,Jvara --) Avasthaa --) Pratis`hyaaya
Arha Vyaadhi,Kaasa
Arha Vyaadhi,Kaasa --) Avasthaa --) Vaatakaphaja Kaasa
Arha Vyaadhi,Kaasa --) Kaphaja Kaasa
Arha Vyaadhi,Kaasa --) Kshataja Kaasa
Arha Vyaadhi,Kaasa --) Kshataja Kaasa --) Nivritta Kshatadosha + Vriddha Kapha + Urahkshata Sthaane Peed`aa
Arha Vyaadhi,Kaasa --) Kshayaja Kaasa
Arha Vyaadhi,Kaasa --) Pittaja Kaasa
Arha Vyaadhi,Kaasa --) Sannipaataja Kaasa
Arha Vyaadhi,Kaasa --) Vaataja Kaasa
Arha Vyaadhi,Kaasa --) Vaataja Kaasa --) S`hira S`hoola + Naasaasraava + Hridaya Taamyati
Arha Vyaadhi,Kan`d`oo
Arha Vyaadhi,Karn`a Roga
Arha Vyaadhi,Karn`a Roga --) Avasthaa --) Kleda
Arha Vyaadhi,Karn`a Roga --) Karn`akan`d`oo
Arha Vyaadhi,Karn`a Roga --) Karn`as`hoola
Arha Vyaadhi,Karn`a Roga --) Karn`as`hoola --) Kaphaja Karn`as`hoola
Arha Vyaadhi,Karn`a Roga --) Karn`asraava
Arha Vyaadhi,Karn`a Roga --) Krimikarn`aka
Arha Vyaadhi,Karn`a Roga --) Krimikarn`aka --) Karn`a Daurgandhya
Arha Vyaadhi,Karn`a Roga --) Pootikarn`aka
Arha Vyaadhi,Krimi Roga
Arha Vyaadhi,Mahaadoshaja Vikaara --) Divaa Svaapaja
Arha Vyaadhi,Mahaadoshaja Vikaara --) Uchcha / Ati Bhaashyaja
Arha Vyaadhi,Moha
Arha Vyaadhi,Mukha Roga --) Dantagata Roga --) Avasthaa --) Danta Daurbalya
Arha Vyaadhi,Mukha Roga --) Galagata Roga --) Galagan`d`a --) Kaphaja
Arha Vyaadhi,Mukha Roga --) Galagata Roga --) Galagraha
Arha Vyaadhi,Mukha Roga --) Jihvaagata Roga --) Upajihvikaa
Arha Vyaadhi,Mukha Roga --) Kan`t`hagata Roga --) Ekavrinda
Arha Vyaadhi,Mukha Roga --) Kan`t`hagata Roga --) Rohin`ee
Arha Vyaadhi,Mukha Roga --) Kaphaja
Arha Vyaadhi,Mukha Roga --) Osht`hagata Roga --) Kaphaja
Arha Vyaadhi,Mukha Roga --) Osht`hagata Roga --) Osht`hakopa --) Kaphaja
Arha Vyaadhi,Mukha Roga --) Sarvagata --) Mukhapaaka --) Kaphaja
Arha Vyaadhi,Mukha Roga --) Sarvagata --) Pootyaasyataa
Arha Vyaadhi,Mukha Roga --) Taalugata Roga --) Galas`hun`d`ikaa
Arha Vyaadhi,Mukha Roga --) Vaataja
Arha Vyaadhi,Naasaa Roga
Arha Vyaadhi,Naasaa Roga --) Apeenasa --) Kan`d`oo
Arha Vyaadhi,Naasaa Roga --) Kaphaja Naasa Roga
Arha Vyaadhi,Naasaa Roga --) Kshavathu
